mean_intensity,std_intensity,max_intensity,fg_fraction,hist_entropy,spatial_cv,center_periphery_ratio,gradient_mean,laplacian_var,quadrant_std,hv_ratio,label,project,dataset
0.20246976613998413,0.019863400608301163,0.6810457706451416,1.0,0.09963505553760092,0.09470534324645996,1.0074085950227867,0.030855730175971985,0.007687301840633154,0.000841496919747442,1.0135648855850465,off_tissue,GCPL,gpcl551_2a_2
0.23528191447257996,0.06022941693663597,0.6810457706451416,1.0,0.9366122482961803,0.2553138732910156,1.0190036421331554,0.16172832250595093,0.04159264639019966,0.016536418348550797,1.0130208026007528,off_tissue,GCPL,gpcl968_2a_2
0.24103358387947083,0.04410695284605026,0.6810457706451416,1.0,1.4847226679418721,0.18508757650852203,1.0053480018562362,0.09287901967763901,0.010863620787858963,0.007050776854157448,0.9598042482214156,off_tissue,GCPL,gpcl551_2a_2
0.20664270222187042,0.028662214055657387,0.6810457706451416,1.0,0.2804723502060269,0.12973055243492126,1.0415405792575427,0.06842422485351562,0.015530155971646309,0.0019297654507681727,0.9985484727548511,off_tissue,GCPL,gpcl611_2a_2
0.20549778640270233,0.028378820046782494,0.6810457706451416,1.0,0.20235978718970332,0.14201034605503082,1.0017168210562675,0.06027543544769287,0.015180903486907482,0.0020328073296695948,1.0210572384244179,off_tissue,GCPL,gpcl551_2a_2
0.20149336755275726,0.01279058214277029,0.6810457706451416,1.0,0.10124297814157761,0.06539846211671829,1.0014538931408346,0.019132038578391075,0.0031738486140966415,0.000609341193921864,1.0073095992584944,off_tissue,GCPL,gpcl968_2a_2
0.20418435335159302,0.025111723691225052,0.6810457706451416,1.0,0.16256697202914924,0.10645564645528793,1.0151569804834135,0.04994126781821251,0.01240408793091774,0.0014917058870196342,1.0122814022789135,off_tissue,GCPL,gpcl551_2a_2
0.20513100922107697,0.025931525975465775,0.6810457706451416,1.0,0.24684971406600326,0.12432271987199783,1.0338355209652974,0.05361434444785118,0.011967361904680729,0.0014775292947888374,1.003306504427347,off_tissue,GCPL,gpcl551_2a_2
0.21289615333080292,0.04043745622038841,0.6810457706451416,1.0,0.44222439540586184,0.19350923597812653,1.0467671306360795,0.11696509271860123,0.029647942632436752,0.004002926405519247,0.9890600027346189,off_tissue,GCPL,gpcl968_2a_2
0.2033608853816986,0.017943091690540314,0.6810457706451416,1.0,0.21824858741221612,0.08709784597158432,1.0060570281692873,0.03855662792921066,0.006183116231113672,0.0009361031698063016,0.9946866118467688,off_tissue,GCPL,gpcl611_2a_2
0.20464858412742615,0.02346831001341343,0.6810457706451416,1.0,0.24350037847300376,0.11651722341775894,1.0048996929188345,0.053725939244031906,0.010811422020196915,0.0012484954204410315,0.9923535692651532,off_tissue,GCPL,gpcl551_2a_2
0.20503030717372894,0.026821983978152275,0.6810457706451416,1.0,0.197667632187094,0.13040791451931,1.029103051918011,0.05448272451758385,0.013366003520786762,0.0008615441620349884,0.9832528678314534,off_tissue,GCPL,gpcl551_2a_2
0.21111968159675598,0.029300592839717865,0.6810457706451416,1.0,0.667877612101679,0.14443008601665497,0.9813147814094171,0.08262813091278076,0.012694855220615864,0.003214725758880377,0.970083806723006,off_tissue,GCPL,gpcl852_2a_2
0.20231615006923676,0.017905468121170998,0.6810457706451416,1.0,0.11582470256404458,0.08797863870859146,1.0057619161162055,0.029225828126072884,0.006194359622895718,0.0005485197179950774,0.9850728833659609,off_tissue,GCPL,gpcl611_2a_2
0.20965933799743652,0.030779127031564713,0.6810457706451416,1.0,0.4731641594700909,0.14874330163002014,1.0591062553808892,0.08681578189134598,0.017408350482583046,0.002919546328485012,1.008762678929292,off_tissue,GCPL,gpcl611_2a_2
0.20032574236392975,0.003966399934142828,0.6810457706451416,1.0,0.024961224996159857,0.008974860422313213,0.9984169805394237,0.00335803278721869,0.0002903697604779154,0.0001583273842697963,0.9903833378647205,off_tissue,GCPL,gpcl968_2a_2
0.20260141789913177,0.018566695973277092,0.6810457706451416,1.0,0.13748116379075956,0.09127053618431091,1.0060748034133788,0.03265375271439552,0.006763338111341,0.0005723255453631282,0.9996649062566644,off_tissue,GCPL,gpcl551_2a_2
0.20313632488250732,0.01892215944826603,0.6810457706451416,1.0,0.17842514509567126,0.09525354206562042,1.0059138482231975,0.03830917552113533,0.007034906651824713,0.0007537772762589157,0.9905140176931153,off_tissue,GCPL,gpcl968_2a_2
0.20386067032814026,0.022467365488409996,0.6810457706451416,1.0,0.17555858922598377,0.1192367747426033,1.0259375298416775,0.043774720281362534,0.009626496583223343,0.0017861698288470507,1.0057399344152642,off_tissue,GCPL,gpcl858_2a_2
0.20861689746379852,0.028242602944374084,0.6810457706451416,1.0,0.4278253499514655,0.13027158379554749,1.0481865531652075,0.07837878912687302,0.014820746146142483,0.0017790176207199693,0.9855202419602582,off_tissue,GCPL,gpcl611_2a_2
0.20769158005714417,0.03307802975177765,0.6810457706451416,1.0,0.277831972824959,0.15448041260242462,1.0295278267144392,0.08005575090646744,0.020791111513972282,0.002612913027405739,0.9815072097600946,off_tissue,GCPL,gpcl968_2a_2
0.20480313897132874,0.026174889877438545,0.6810457706451416,1.0,0.22946049659061296,0.12466369569301605,0.9907191495366527,0.052601154893636703,0.012574810534715652,0.0013452910352498293,1.0153940591980584,off_tissue,GCPL,gpcl611_2a_2
